Event,p_gen,eta_gen,p_rec,eta_rec

0,1.3154,0.3127,1.3160,0.3127

1,6.3253,-0.6326,6.3514,-0.6327

2,5.0703,0.1224,5.0936,0.1224

3,1.5437,0.7066,1.5433,0.7064

4,2.3808,-0.4544,2.3632,-0.4542

5,7.7738,-1.5570,7.7492,-1.5573

6,1.4955,-0.3276,1.4988,-0.3277

7,2.8601,-0.0390,2.8619,-0.0391

8,6.8302,-1.0992,6.8640,-1.0987

9,8.9471,-1.1074,9.0855,-1.1074

10,6.6769,1.3901,6.5757,1.3903

11,4.4410,0.8171,4.3909,0.8171

12,1.0115,0.9830,1.0237,0.9849

13,0.5237,-0.5403,0.5217,-0.5394

14,3.6169,-0.8708,3.7531,-0.8707

15,1.8118,-0.9481,1.8280,-0.9471

16,6.9539,0.3198,6.9124,0.3196

17,1.3108,0.7032,1.3182,0.7023

18,8.1925,-0.0682,8.1380,-0.0682

19,3.6305,0.0720,3.6128,0.0718

20,5.5942,0.4131,5.6431,0.4131

21,1.0983,0.2349,1.0933,0.2352

22,8.8826,0.9834,8.9024,0.9837

23,0.4595,-1.3776,0.4560,-1.3731

24,6.5560,-0.2056,6.5446,-0.2056

25,8.1769,0.3179,8.2966,0.3177

26,0.4703,-0.0776,0.4715,-0.0777

27,4.1768,-1.0095,4.1387,-1.0094

28,0.4528,1.0005,0.4191,0.9978

29,8.1527,1.4432,8.1622,1.4434

30,9.5507,0.7378,9.4762,0.7379

31,2.3451,0.2711,2.3557,0.2712

32,1.3538,0.2286,1.3563,0.2281

33,7.2269,0.2781,7.1809,0.2781

34,0.6650,1.0167,0.6351,1.0169

35,8.3396,1.0536,8.2622,1.0536

36,9.0101,-1.2412,9.0383,-1.2412

37,0.3924,-1.0547,0.3871,-1.0647

38,1.5528,0.6732,1.5617,0.6736

39,2.1000,-0.2285,2.1202,-0.2290

40,9.6426,-0.7786,9.7181,-0.7785

41,9.0782,0.1164,9.0353,0.1165

42,9.0276,0.6624,9.0913,0.6624

43,7.5262,-0.3759,7.5700,-0.3759

44,8.5058,1.4377,8.3805,1.4375

45,4.1930,-1.6313,4.1371,-1.6306

46,6.2737,0.0791,6.2857,0.0791

47,9.2980,-1.5277,9.5166,-1.5278

48,6.6744,-0.0083,6.6882,-0.0083

49,0.4166,0.5523,0.4162,0.5541

50,3.0717,-1.7001,3.1158,-1.7026

51,5.0328,1.2589,5.0561,1.2582

52,2.4123,0.4408,2.4004,0.4403

53,9.3845,1.0414,9.1481,1.0417

54,5.5428,-0.4606,5.5264,-0.4605

55,5.8026,-0.9700,5.7850,-0.9704

56,6.8031,1.1613,6.7497,1.1616

57,1.7185,-0.5416,1.7235,-0.5418

58,2.4882,0.0985,2.4948,0.0988

59,7.9460,-1.6773,7.7393,-1.6772

60,5.0055,-0.2936,4.9933,-0.2936

61,9.4923,-0.9998,9.4234,-0.9996

62,2.5622,0.2886,2.5318,0.2887

63,7.1781,-1.0804,7.1438,-1.0803

64,3.2438,-0.5327,3.2257,-0.5323

65,3.0272,0.9307,3.0306,0.9310

66,3.2278,0.3216,3.2322,0.3214

67,1.4929,0.3804,1.4889,0.3799

68,3.6128,0.9491,3.5844,0.9489

69,7.2891,0.5840,7.1988,0.5841

70,5.8691,-1.5377,7.2970,-1.5363

71,7.9817,0.1155,7.9849,0.1153

72,4.5138,0.2414,4.5070,0.2413

73,1.4708,-1.1519,1.5199,-1.1519

74,4.9237,1.2509,4.9171,1.2522

75,5.8358,-0.9556,5.8946,-0.9554

76,1.9179,1.1094,1.9249,1.1066

77,2.3909,-0.6904,2.3856,-0.6905

78,2.3746,0.3578,2.3768,0.3578

79,2.6102,0.5736,2.5992,0.5732

80,3.4021,-0.3633,3.4388,-0.3634

